"id","junction_name","latitude","longitude"
0,"CANOGA AV AT VANOWEN ST",34.18834537329447,-118.59747110546994
1,"CRENSHAW BL AT 36th ST",34.025586946373316,-118.33511116856756
2,"ANAHEIM ST AT FRIES  AV",33.77990869314322,-118.2637400522642
3,"FOUNTAIN  AV  AT  VIRGIL  AV",34.095739886798974,-118.28673434818447
4,"MOORPARK ST AT  CAHUENGA BL",34.150382474649966,-118.36148475510643
5,"SEPULVEDA  BL  AT  IMPERIAL  HWY",33.9310742647768,-118.39616874745379
6,"CULVER  BL  AT  INGLEWOOD  BL",33.99622336000842,-118.41665414255026
7,"EAGLE ROCK BL AT RIDGEVIEW AV",34.13030088077554,-118.21663942448124
8,"5th ST AT VAN NESS AV",34.06533020358195,-118.31407444778637
9,"103RD  ST  AT  SAN  PEDRO  ST",33.94285570399303,-118.2695284931101
10,"WOODMAN AV S/O SHERMAN WAY",34.19935257984543,-118.43126911147172
11,"VANOWEN ST AT TUJUNGA AV",34.1939427256389,-118.37905824082644
12,"LAURELVALE  DR  AT  CANTON  DR",34.1329884049303,-118.38647774079116
13,"LONG BEACH  AV  AT  20TH  ST",34.01879626691764,-118.24319810227216
14,"OLYMPIC  BL  AT  NORMANDIE  AV",34.05262882527261,-118.30002804562514
15,"SHERMAN WAY AT TUJUNGA AVE",34.20120238975396,-118.37905766097474
16,"WOODMAN  AV  AT  ROSCOE  BL",34.219620632883306,-118.43193372420667
17,"WOODBRIDGE ST AT LEDGE AV",34.14854279452992,-118.35498887393393
18,"CAMROSE  DR  AT  HIGHLAND  AV",34.10823764128012,-118.33708363572511
19,"CANOGA  AV  AT  OXNARD  ST",34.179247716695116,-118.59737312427006
20,"54TH  ST  AT  FIGUEROA  ST",33.993294077638616,-118.28268289404244
21,"EDGEWOOD  PL  AT  HUDSON  AV",34.05498957474685,-118.33578090923064
22,"CARDIFF  AV  AT  ALCOTT  ST",34.05526074713457,-118.39210280788565
23,"2ND  ST  E/O  LOS  ANGELES  ST",34.050277929938275,-118.2433518557467
24,"OLYMPIC  BL  AT  NORMANDIE  AV",34.05263409641216,-118.29894659499875
25,"DILLING ST AT TROOST AV",34.14324204991492,-118.38334691758793
26,"ROSCOE  BL  AT  HAZELTINE  AV",34.22164691657477,-118.43665023257324
27,"SYLVAN ST AT LEMONA AV",34.184846095871144,-118.45863683303313
28,"IMPERIAL HWY AT PERSHING DR",33.93099903784086,-118.42919596904899
29,"COMPTON  AV  AT  42ND  ST",34.006773226336286,-118.24740991900705
30,"ANAHEIM  ST   AT   FLINT  AV",33.780680147275866,-118.2494325875976
31,"SATURN  ST   AT   ORANGE  GROVE  AV",34.049283653301096,-118.36500440758716
32,"HOLT  AV  AT  18TH  ST",34.04513360236281,-118.38000392832325
33,"12TH  ST  E/O  ALVARADO  ST",34.04828341420009,-118.2806109763403
34,"KESTER  AV  AT  AETNA  ST",34.17938989658587,-118.45745409068107
35,"ROSCOE  BL  AT  DEERING  AV",34.21983363895671,-118.59507307300807
36,"HAYVENHURST AV AT MAGNOLIA BL",34.163567399406084,-118.49236749201651
37,"VICTORY  BL  AT  BALBOA  BL",34.18663352134427,-118.49915581371563
38,"VASSAR  AV  AT  GAULT  ST",34.19919858682212,-118.6044028696978
39,"BERENDO  ST  N/O  VENICE  BL",34.04542451453495,-118.29357770309005
40,"8TH  ST  AT  COLUMBIA  AV",34.05024619350424,-118.26906201955323
41,"3RD  ST  AT  FRESNO  ST",34.036974693355575,-118.20126686524236
42,"12TH  ST  AT  SAN  JULIAN  ST",34.03436690292945,-118.25435881440374
43,"VENTURA  BL  E/O  RESEDA  BL",34.168590086461116,-118.53554944316026
44,"GAVIOTA AV  S/O LEADWELL ST",34.20299884623036,-118.48149123809561
45,"TITUS  ST  E/O  TILDEN  AV",34.219740838558096,-118.44676582761367
46,"WATERVIEW ST AT TRASK AV",33.95197760212807,-118.4441385709396
47,"FALMOUTH  AV  AT  92ND  ST",33.95476414598838,-118.43463252257173
48,"PACIFIC  AV N/O 12TH ST",33.734226481006104,-118.28793606733629
49,"VINE  ST   AT   HOLLYWOOD  BL",34.09979727671575,-118.32667988075082
