"uuid","address","latitude","longitude"
"ggDOTAdDY_ngKoQnkktO8","1301 N LA BREA AVE","34.095452","-118.344219"
"zXs425XAfaEFHnFDH0_G5","1301 N LA BREA AVE","34.095795","-118.34422"
"BdvNUrozSd1WsQNzpkNlw","1301 N LA BREA AVE","34.095982","-118.344223"
"XhyXG9e44RsE-oArvWY7j","7000 W DE LONGPRE AVE","34.096104","-118.343822"
"fWM32R0o9SJMKw1M4GT3K","7000 W DE LONGPRE AVE","34.096104","-118.343759"
"_6KpyKl1oDwGB00SXO4fI","1500 N GOWER ST","34.098655","-118.32223"
"dTk9s7ZoNp8Hfrx8oOyEN","1500 N GOWER ST","34.098257","-118.322228"
"w7cOUJtsQFZGxVhp3t6mv","6201 W SUNSET BLVD","34.098119","-118.32549"
"uTyvpeV6AnNkAZFcCMWXw","6201 W SUNSET BLVD","34.09812","-118.325424"
"W4Hfg2b6-2mv-LhdDrAaY","1500 N ARGYLE AVE","34.098756","-118.325058"
"2ibh7lK_hHA2V_AnQmYA9","1500 N ARGYLE AVE","34.098357","-118.325056"
"GLMVZN0nQD0B8oPyHupeo","1500 N ARGYLE AVE","34.098626","-118.325056"
"Xhk31kO-NSW7QpA2Ff5c3","6201 W LELAND WAY","34.097103","-118.32585"
"hJddktJwjYlZDFVlu2uj4","1401 N IVAR AVE","34.096407","-118.328886"
"YXvn6n0SnUpzO7JLDokLf","1401 N IVAR AVE","34.097509","-118.328892"
"Qi68BQh6h6CTwB11-JTFb","1401 N IVAR AVE","34.097641","-118.328893"
"5x47JipvEC-wH1A-n4LPV","1401 N IVAR AVE","34.096907","-118.328889"
"lAor6anSuGxkN0V-yvGry","1401 N IVAR AVE","34.096857","-118.32889"
"Q97rVrBIEM_RvheAN13Uh","1401 N IVAR AVE","34.097388","-118.328892"
"18s_K08BddP_rcqv1JFlg","1401 N IVAR AVE","34.096457","-118.328886"
"xJvHtfyK76XQBLPKvGK2o","6500 W SUNSET BLVD","34.097887","-118.33269"
"-fov2xXqIWzd6wbMHsGc4","6500 W SUNSET BLVD","34.097886","-118.332944"
"oz4JxnPFCZ1anbk9XGqwB","6500 W SUNSET BLVD","34.097887","-118.333006"
"zHzV5bMxgh0Ziuk2ww7in","1500 N SCHRADER BLVD","34.099186","-118.332398"
"JRmOY6iD4AkCX7J3lCnYZ","1500 N SCHRADER BLVD","34.099106","-118.332399"
"j6mGM_3JXpvPw8CC3Cbln","1500 N SCHRADER BLVD","34.099316","-118.3324"
"q17FeCrMgyHH-wAUebELn","1500 N SCHRADER BLVD","34.099242","-118.3324"
"j_-YG0tsU88jmBl7oeXX9","1500 N CASSIL PL","34.098993","-118.333724"
"pZOdgXJOkUYLSZzbxqbZz","1500 N CASSIL PL","34.098782","-118.333722"
"sJ1pAw39sN8NwpygEjlqT","1500 N CASSIL PL","34.099218","-118.333726"
"Sz7nzOozm2Ld57TUKOwUW","6900 W SUNSET BLVD","34.097871","-118.340976"
"QkkrI96hiq7ZGnbufEMxP","6900 W SUNSET BLVD","34.097871","-118.340817"
"obll2p3HAKlAcMcnRdxvQ","6900 W SUNSET BLVD","34.097871","-118.341066"
"_JGNaLzd0LlK_6SO3ULby","1401 N WILCOX AVE","34.096803","-118.331093"
"C1BQROnP726aHIasW8OUt","1401 N WILCOX AVE","34.096519","-118.331092"
"10fnJMJHwZ46stnWNhxVb","1401 N WILCOX AVE","34.096875","-118.331093"
"AfjAtw5ofm2Qm3wX6qrC-","1401 N WILCOX AVE","34.096573","-118.331092"
"scuCrsbMe8VZsYN1vwDzW","7000 W SANTA MONICA BLVD","34.090622","-118.342261"
"p_B4O9TP2xIRyQltIqfUk","1101 N ORANGE DR","34.091025","-118.341682"
"4tjMzOij6FJcqpF5DvkB5","1101 N ORANGE DR","34.091229","-118.341682"
"XGKkPfuIaHpToCSEbTNXE","1001 N ORANGE DR","34.090303","-118.341682"
"mUwvv0wbOUYLmamlSSPCn","1101 N MCCADDEN PL","34.091208","-118.337508"
"7LYoIPzs9EsQcoE1H1S4Y","1101 N MCCADDEN PL","34.091892","-118.337514"
"4JW-uiqUYJx5gB4kfgaN4","1101 N MCCADDEN PL","34.09235","-118.337515"
"k2Fi1wVOJg-iVsyRWRmeg","1101 N MCCADDEN PL","34.091528","-118.337512"
"yphMN1j42kKaggXtVcj3f","1101 N MCCADDEN PL","34.09172","-118.337513"
"BpGDPf9HAx6P2utfDU4uQ","1101 N MCCADDEN PL","34.091474","-118.337511"
"v-g40irUl2iYXHB7d9i_m","1100 N MCCADDEN PL","34.091118","-118.337382"
"YX5ggiebs8-2sc0RwZBhQ","1100 N MCCADDEN PL","34.091673","-118.337389"
"eDF_Ai5SHBIEkBzQpTguC","1100 N MCCADDEN PL","34.092075","-118.337393"
"jaIxuPqONsusmX5GO_QMV","1100 N MCCADDEN PL","34.090932","-118.337381"
"2d88QtKSZOAmIXnPIgFIy","1100 N MCCADDEN PL","34.091328","-118.337386"
"pgdUmZXxhw5cValnEXyMk","1100 N MCCADDEN PL","34.091193","-118.337384"
"G2k_PXbghfMWUrf-xqn7p","6601 W SANTA MONICA BLVD","34.090811","-118.333964"
"FkArZbxYsRzmRvYjqqxCG","6601 W SANTA MONICA BLVD","34.090812","-118.333666"
"JdHU-ngN-mIShHUB3uJvj","6601 W SANTA MONICA BLVD","34.09081","-118.335204"
"pSiSvQE4ID1Yp7Pfxwuc2","6601 W SANTA MONICA BLVD","34.090809","-118.335141"
"2au7puf0RtVQrO44jp1K0","6601 W SANTA MONICA BLVD","34.09081","-118.335298"
"2Vv2xe62bfKMeMFk4KfFy","1101 N SEWARD ST","34.091066","-118.333257"
"SgNs9lY3Z8MbzHn4E-gNc","1400 N ORANGE DR","34.097474","-118.341495"
"UyvusKy_HONBiclmmrVDx","1400 N ORANGE DR","34.097601","-118.341497"
"SX4DSxfoKybVzc0Ro8xOT","6200 W SUNSET BLVD","34.097903","-118.325606"
"EA4o-iiYtu_oPQ_NsafGQ","6200 W SUNSET BLVD","34.097904","-118.325543"
"j1ufwbcKoMvhRWDF9JFgt","1501 N LA BREA AVE","34.099177","-118.344595"
"fK2dI6XqrC8_yFYGLTC37","7100 W DE LONGPRE AVE","34.096106","-118.344397"
"tWlhbYAbji8nUzIYDEK94","1300 N LA BREA AVE","34.095549","-118.343975"
"FejyGlooTz-UA1Pyhqt3d","5901 W SUNSET BLVD","34.098152","-118.318199"
"lS82lAWAXRvP8MDW4qyd4","5901 W SUNSET BLVD","34.098149","-118.318732"
"HOhd2cvxv9T-kC6uEWSRx","6000 W SUNSET BLVD","34.097925","-118.321966"
"fcraGF4XieSmD5uGJBmT4","6101 W SUNSET BLVD","34.098122","-118.322967"
"F6goKlIkvmceLsZ_GAwoA","1400 N EL CENTRO AVE","34.097605","-118.32366"
"ghvaCKOjm5NO6D3mEme1e","1401 N VINE ST","34.097167","-118.326777"
"5wlfdgYqLignk6DZaR7a7","6300 W SUNSET BLVD","34.097893","-118.328179"
"ULkjyN54_uD9OJkro-Uyo","6300 W SUNSET BLVD","34.097892","-118.328345"
"ETMLs0sTdVOruKE6Og-ik","1501 N IVAR AVE","34.099576","-118.328382"
"-f6F0hI4b7lB5B-Tv3SVG","1400 N COLE PL","34.097604","-118.330213"
"qdPJafBApL4FW0zKO0jp9","6401 W SUNSET BLVD","34.098094","-118.329887"
"UD2oZqicT7pOSQjn9W30e","6601 W SUNSET BLVD","34.098086","-118.333464"
"5GXY-TiK2KALI8ZT1mZdG","6600 W SUNSET BLVD","34.097885","-118.333559"
"L7hAKUO1v7CIAKHT5usLZ","6600 W SUNSET BLVD","34.097882","-118.334819"
"m01pTitbpZAGwFZ-AduZN","1500 N LAS PALMAS AVE","34.099515","-118.336258"
"KLGUx7mR3sekP4AAIF94w","1400 N HIGHLAND AVE","34.097105","-118.338532"
"iuo_XIgpccZ-nbi5t6vEF","1300 N HIGHLAND AVE","34.094826","-118.338509"
"2EmNmR18P8H3tJSuFmy-O","1201 N HIGHLAND AVE","34.092804","-118.338737"
"LPR95DdY8XYi6GSwYlWph","7001 W SUNSET BLVD","34.098072","-118.341805"
"O5aElISx0_pFdWhwdTREP","6700 W SUNSET BLVD","34.097879","-118.337082"
"Y3Do7EXhX9esvOkGx-X2J","6200 W SUNSET BLVD","34.097907","-118.324606"
"i4hhEqq3Ejs_J1LRhWBLa","1001 N MCCADDEN PL","34.090314","-118.33751"
"Tv_8LtOLMfXWN-d4OCWFO","1001 N LAS PALMAS AVE","34.089376","-118.336349"
"6CgLmc843_sjYmSySLJ5w","1001 N LAS PALMAS AVE","34.089879","-118.336353"
"6p0kGGOvL-wGn8HGyyufm","1001 N LAS PALMAS AVE","34.09049","-118.336356"
"ONk_zq-bprMt5S03d3-sc","1100 N HUDSON AVE","34.091073","-118.332395"
"7OtjQvhzDpDjrk43pbB2v","1101 N VINE ST","34.091575","-118.32675"
"c5cPTb8mj-jseaqQQoNbV","1100 N VINE ST","34.092324","-118.326514"
"psuKqz91yhYuywq9BC4VF","6200 W BANNER AVE","34.091609","-118.32627"
"r5WAjJNgzuNi0x0V754r-","6201 W SANTA MONICA BLVD","34.090825","-118.325841"
"AgxmB6qSFilCR6isZqlH4","6701 W SANTA MONICA BLVD","34.090799","-118.337147"
"SDyaA6tzSOayyfk3X_vVB","7101 W DE LONGPRE AVE","34.096207","-118.344441"
"kWtLZB1raFrfGNwxDl7gu","1300 N LA BREA AVE","34.095139","-118.343973"
"m0qSwLfTPbcGmNa7KHmm-","1300 N LA BREA AVE","34.095272","-118.343974"
"aEya9qadVSfTBy8ZVmo3_","1300 N VINE ST","34.095908","-118.326531"
"3-SORJ12oMlhTkh2KnWIl","6201 W AFTON PL","34.095325","-118.326283"
"x057eFlGhbSBQvDQAX96s","1200 N VINE ST","34.093703","-118.326518"
"PqClyB8zU32BIUMIVG1nX","1401 N VINE ST","34.096644","-118.326775"
"FWCJ_3WwEVuqeHR8N-4WT","1001 N MCCADDEN PL","34.090444","-118.33751"
"SLKIoMggclzr-zeQJDhA8","1100 N LAS PALMAS AVE","34.090998","-118.336213"
"5v5hA-yqXyGAus-zJIkGd","1100 N SEWARD ST","34.091001","-118.33311"
"h_X1-SKEsWag4j4V8Kp0u","1101 N VINE ST","34.091395","-118.326751"
"rCPhGvF48MHmNsMu5_w_O","1100 N VINE ST","34.092382","-118.326515"
"jIp09RMtdpyTgtXPUC-iR","1100 N VINE ST","34.090964","-118.326508"
"c7e_ecukWzJo28wpY-_yt","6200 W BANNER AVE","34.09161","-118.325555"
"DOB7YoOD-dZsRWEzqd8XY","6200 W SANTA MONICA BLVD","34.090662","-118.325621"
"dbUruTWYD2DCRPECntlVX","5900 W SUNSET BLVD","34.097947","-118.318494"
"GZYUArNi-4Qd1BekSsVpB","6001 W SUNSET BLVD","34.09813","-118.321412"
"OFstky1ZpnYs4BV7d7nqv","6101 W SUNSET BLVD","34.098119","-118.323276"
"YjQa72gcILSdN3B0wbbYw","6201 W SUNSET BLVD","34.098115","-118.324005"
"ZGUhctsa30pRe34Oe_q48","1501 N ARGYLE AVE","34.098671","-118.325255"
"asx6WqbwXjTLDmfzn5ZxP","1300 N VINE ST","34.095854","-118.326528"
"n1bzjXNmHFwiV6MVdGAUN","1200 N VINE ST","34.09389","-118.326519"
"apjZfEJoejAv7bxC2Fx9Q","6300 W SUNSET BLVD","34.097894","-118.327356"
"fxxGBEiBYUtHTWIAfVQIR","1501 N CAHUENGA BLVD","34.099413","-118.329621"
"jQze1EBD8w6AH6ecUAJMB","1401 N COLE PL","34.09672","-118.330355"
"jIVA4Ygy3iVn4Hxb0Zl2Q","1400 N COLE PL","34.09719","-118.330209"
"Zi866e-xdvafRR5sknUJx","1500 N WILCOX AVE","34.098729","-118.330935"
"jAbVehfzX3eH128czkiyF","6600 W SUNSET BLVD","34.097884","-118.334585"
"j_0kUbiSvHrWY_geCkfgY","1500 N LAS PALMAS AVE","34.099249","-118.336253"
"AmbkAmQUwBNius66R2mIU","1400 N HIGHLAND AVE","34.097309","-118.338532"
"n94iD4VgZfOTATmjweCQm","1200 N HIGHLAND AVE","34.093335","-118.338498"
"6F_Y7rl_85OGH7F8IM31y","6800 W LEXINGTON AVE","34.092523","-118.339075"
"JlWOaSjyL2Nc1E9oUxuWp","6800 W SUNSET BLVD","34.097874","-118.339638"
"_n-RudB43D9bQnfsnk-FY","7000 W SUNSET BLVD","34.097869","-118.342243"
"ficGgycNoi5EADC0ivxWO","1501 N SCHRADER BLVD","34.09837","-118.33253"
"R0rgoOVARSeq6l3g3kZ_1","6200 W SUNSET BLVD","34.097908","-118.324685"
"h9rsVsNq405sQItMCRRzL","1501 N SCHRADER BLVD","34.098557","-118.332531"
"qGd5WuLljl2JD-1NZt84C","1001 N LAS PALMAS AVE","34.089174","-118.336348"
"iE5uMkNrlpAuzjr5agz9D","1100 N VINE ST","34.091859","-118.326513"
"StKccKBe66c2hoJpiaMrX","1501 N LA BREA AVE","34.098769","-118.344475"
"VUc48Xt8siZOyec6mtX3P","5901 W SUNSET BLVD","34.098146","-118.318981"
"0DjzTGgOfbkoYk60CfYFN","1400 N GOWER ST","34.096994","-118.322207"
"DpZaGe2gsXHhSGE3sYKRH","1401 N EL CENTRO AVE","34.097394","-118.323782"
"2OW7o71cJuEPyiBlB4YXc","6201 W SUNSET BLVD","34.098115","-118.324323"
"BRlwTWF3SvtmQoYLUVZvr","1501 N ARGYLE AVE","34.098729","-118.325254"
"y4UX8P--15N32uXpeLkvx","1400 N VINE ST","34.096643","-118.326532"
"uFCPxzAB812LIjdEYhB-5","1300 N VINE ST","34.094637","-118.326524"
"jhpcPiHIZTcQVR0MX5NnC","1301 N VINE ST","34.095563","-118.326768"
"GCPl8kLVGbD8zjYFap8nL","6301 W SUNSET BLVD","34.098095","-118.327379"
"XIYWESI8CPXJ2ng1mH_mD","6300 W SUNSET BLVD","34.097893","-118.327505"
"h16kYSyxcgOMhZacNEbOC","1401 N CAHUENGA BLVD","34.096639","-118.3296"
"9OPwWwsxoCUhsEdihpi5t","1401 N COLE PL","34.097486","-118.330359"
"2zp2QtQHJS0hXExihKc8e","1400 N COLE PL","34.097684","-118.330215"
"5iihqu3jkTCM6CQMw-4jG","1501 N WILCOX AVE","34.09957","-118.331114"
"Orj6kQcLPkzLy1XkbQaQ4","1501 N SCHRADER BLVD","34.098754","-118.332532"
"MEMWgx6zPcu6hQ60HmePT","1401 N SEWARD ST","34.097468","-118.333283"
"JdmCH5XAhNoxqaTkcnEV2","6600 W SUNSET BLVD","34.097882","-118.334435"
"g76eHTcauHi-ilxVd0JQW","1500 N LAS PALMAS AVE","34.099388","-118.336255"
"R9_NAdL3EBxT9v8fCW5Ad","1501 N LAS PALMAS AVE","34.098208","-118.336378"
"0c0VybO_Sa892xA7HC7OF","1500 N HIGHLAND AVE","34.098657","-118.338546"
"smsiZX6Zd2M4IDCg_4Nee","1200 N HIGHLAND AVE","34.093721","-118.338502"
"1-3RFReVn4wTW50rEF8uX","1200 N HIGHLAND AVE","34.093073","-118.338497"
"oCaToOeeK7a6FQdvekDe0","6801 W LEXINGTON AVE","34.092632","-118.33898"
"q2649jN5DLSuxtBPuOVyo","1301 N HIGHLAND AVE","34.095331","-118.338754"
"PUyY2z3xM7SQIbJk7wSjz","1301 N HIGHLAND AVE","34.095534","-118.338755"
"_yIo41BkgHAwGZLp41yhS","6800 W SUNSET BLVD","34.097873","-118.339955"
"Upp3N1_DasX6Xeb92-Uo_","1400 N MANSFIELD AVE","34.097746","-118.340424"
"lYQSeF2QiISFKyHnpnU8z","1501 N MCCADDEN PL","34.098348","-118.337619"
"oer3Ua57RpbNPJbc_EGIA","1400 N WILCOX AVE","34.097002","-118.330932"
"SOQ7V96nN2YiBoRlZKr6r","1000 N MCCADDEN PL","34.090509","-118.337368"
"I0GnqaLnAF4XjGJQheVLM","1001 N LAS PALMAS AVE","34.090359","-118.336355"
"WNW_WnLHtV_HnHc2Gedkh","1100 N LAS PALMAS AVE","34.090944","-118.336212"
"MEOQs8ULzZ4hHLzBHF9BD","6201 W SANTA MONICA BLVD","34.090827","-118.325045"
"DC801pePjCJnAMUoO1Ey_","1300 N LA BREA AVE","34.094716","-118.343971"
"z9C6-2zexuxJSARJYoKWL","5801 W SUNSET BLVD","34.09816","-118.316422"
"44bOGCx1FMkcPFu5EwqW4","6100 W SUNSET BLVD","34.097904","-118.323455"
"F6PeB2XQRYG-8EN5yFcrP","6201 W SUNSET BLVD","34.098113","-118.32448"
"fE8KZZDZqFIHnuATbSi_g","1300 N VINE ST","34.094948","-118.326524"
"GkCPFWAdlYE9I8inv11Ch","1200 N VINE ST","34.093068","-118.326516"
"gU-ADaXXLFUgdAfeGvSWz","1301 N VINE ST","34.095486","-118.326768"
"YXD6-6ItloWVS7IlR84kD","1501 N CAHUENGA BLVD","34.099537","-118.329619"
"ThkSBdzWKTh7H9_4HjPuK","1400 N CAHUENGA BLVD","34.097002","-118.329409"
"IUgmznaIn6rf1qt9utJ_a","6401 W SUNSET BLVD","34.09809","-118.330468"
"yfqu_sqIsS_uU_VHjqJbO","1501 N WILCOX AVE","34.098337","-118.331106"
"xzjrD1imll-zkI6B1qi7I","1500 N WILCOX AVE","34.098675","-118.330935"
"pOrW8NTUPwfEAmQIvfFnZ","6501 W SUNSET BLVD","34.098092","-118.331252"
"3J4nYr_iFTL8KG1KNfrc2","6500 W SUNSET BLVD","34.097887","-118.332039"
"P-n9H9oPa_EPM0Lly16ZW","6601 W SUNSET BLVD","34.098085","-118.333556"
"Y8-qjeWZaQIRhx_BIu8YY","1400 N SEWARD ST","34.097704","-118.333153"
"6MXp0w33I3RtclohJMEq-","6601 W SUNSET BLVD","34.098083","-118.335679"
"Km_VUNiKghSYWUMfNdNGW","1500 N LAS PALMAS AVE","34.098483","-118.336252"
"X74V7G02iYKbRSaa0ViiQ","1300 N HIGHLAND AVE","34.095282","-118.338512"
"DVCiY5qVW_i9Vvv5yXw6D","1201 N HIGHLAND AVE","34.09344","-118.338742"
"05YLZGC5kF8CiZWq97mE_","1301 N HIGHLAND AVE","34.095596","-118.338756"
"ZveONk40GT3JsKD0nY_0K","7001 W SUNSET BLVD","34.098073","-118.341867"
"Unv-UFJ7F2hz3TWfQds82","6700 W SUNSET BLVD","34.097879","-118.337164"
"O8f-JPPIQnt-kNwXjkdFI","1400 N WILCOX AVE","34.09719","-118.330933"
"PQim18rzNz70wTkPwTlq8","1400 N WILCOX AVE","34.096926","-118.330932"
